File Name,Cognitive Demand,Total Focus,Clarity,Start Focus,End Focus,Memory,Engagement,Category
C10,62.316664,57.349265,68.17,54.502368,29.419799,37.995636,55.177185,Confectionary
C11,70.059074,63.779903,69.6,61.720601,28.54661,54.532407,58.356891,Confectionary
C12,61.032063,49.333468,68.21,33.73461,20.208139,37.057805,57.064825,Confectionary
C13,68.038673,47.90101,64.42,44.658521,31.04171,66.00335,65.99935,Confectionary
C14,59.472052,59.683182,66.47,57.821495,35.1587,59.33035,65.082189,Confectionary
C15,61.264305,61.228522,66.57,43.14093,25.950234,37.806036,43.507653,Confectionary
C2,63.237234,49.722824,74.96,38.475867,21.584123,17.752337,66.606375,Confectionary
C3,64.896935,44.34634,65.71,69.730727,34.329842,29.414836,47.806878,Confectionary
C4,68.436459,67.235724,55.31,63.509536,32.667927,24.829538,61.016613,Confectionary
C5,63.525706,60.554363,61.18,53.842366,27.0978,35.314648,31.254236,Confectionary
C6,65.226628,45.513639,68.03,33.631694,19.707838,28.097521,29.372988,Confectionary
C7,72.438091,48.245675,65.71,40.670311,40.921995,34.142052,54.828719,Confectionary
C8,57.95983,43.522595,73.87,59.614928,32.282558,38.781437,55.578228,Confectionary
C9,61.126044,61.895555,72.08,50.683121,28.658349,31.554759,44.930416,Confectionary
HG1,46.274666,56.686132,78.27,69.45944,41.245577,50.706913,67.010351,Household Goods
HG10,62.832705,55.641634,77.17,78.226301,37.535986,47.539446,57.388642,Household Goods
HG11,66.567693,47.86238,70.23,52.957351,32.722474,47.319995,71.488304,Household Goods
HG12,53.629926,69.688933,70.02,59.090764,25.594616,72.201617,54.810155,Household Goods
HG13,66.519448,53.646278,69.64,31.262086,27.263918,61.340295,57.26577,Household Goods
HG14,55.122185,50.540351,64.46,65.393876,37.173659,61.686637,72.500698,Household Goods
HG15,61.903028,53.203226,66.74,44.095586,20.446575,42.977373,47.387444,Household Goods
HG2,52.446588,78.505799,60.62,82.649367,67.780222,27.306865,81.684985,Household Goods
HG3,53.876668,64.300341,69.44,74.829392,27.180411,58.261187,72.991629,Household Goods
HG4,45.15202,53.122399,63.54,38.776688,47.552395,50.431252,60.64692,Household Goods
HG5,55.927824,65.17313,71.93,56.74001,30.076784,83.204827,59.768261,Household Goods
HG6,61.702804,49.639618,66.4,66.051403,54.212404,58.86728,76.060595,Household Goods
HG7,66.911159,69.453372,55.04,54.8044,58.677849,59.404039,65.004126,Household Goods
HG8,55.54766,62.788827,71.78,55.54814,42.732207,60.170122,63.576527,Household Goods
HG9,66.971753,70.712196,75.35,56.794342,34.135223,44.709446,50.962598,Household Goods
